speaker,record_date,year,month,GroupCount,mean,CI_1,CI_2,median,plot_date
Scott John Morrison,23-Apr-2009,2009,4,8,-7.715,-9.597,-5.628,-7.782,23-Apr-2009
Scott John Morrison,11-Sep-2016,2016,9,5,-6.336,-7.623,-4.465,-6.659,11-Sep-2016
Scott John Morrison,05-Mar-2014,2014,3,41,-6.305,-7.011,-5.512,-6.612,05-Mar-2014
Scott John Morrison,12-Sep-2014,2014,9,155,-6.554,-6.992,-6.056,-6.43,12-Sep-2014
Scott John Morrison,22-Apr-2015,2015,4,4,-5.953,-7.465,-3.899,-6.097,22-Apr-2015
Malcolm Bligh Turnbull,11-Sep-2016,2016,9,16,-6.013,-8.39,-4.034,-6.046,11-Sep-2016
Tony John Abbott,12-Sep-2014,2014,9,26,-6.823,-8.008,-5.709,-5.937,12-Sep-2014
Tony John Abbott,29-Oct-2013,2013,10,8,-6.046,-7.573,-4.798,-5.78,29-Oct-2013
Scott John Morrison,29-Oct-2013,2013,10,67,-6.215,-7.13,-5.577,-5.764,29-Oct-2013
Scott John Morrison,01-Jan-2016,2016,1,4,-6.324,-10.604,-4.055,-5.755,01-Jan-2016
Anthony Norman Albanese,29-Jan-2023,2023,1,3,-5.336,-7.734,-0.766,-5.605,29-Jan-2023
Malcolm Bligh Turnbull,27-Sep-2017,2017,9,8,-6.108,-9.051,-3.842,-5.5,27-Sep-2017
Scott John Morrison,24-Jun-2013,2013,6,31,-5.076,-5.975,-4.224,-5.436,24-Jun-2013
Tony John Abbott,05-Mar-2014,2014,3,8,-6.099,-8.859,-4.831,-5.314,05-Mar-2014
Scott John Morrison,14-Oct-2010,2010,10,34,-4.919,-6.105,-3.828,-5.211,14-Oct-2010
John Winston Howard,30-Jul-2006,2006,7,5,-5.215,-6.417,-4.015,-5.15,30-Jul-2006
Scott John Morrison,20-Mar-2019,2019,3,28,-5.439,-6.489,-4.495,-5.112,20-Mar-2019
Scott John Morrison,23-Apr-2011,2011,4,89,-4.651,-5.25,-3.989,-4.956,23-Apr-2011
Scott John Morrison,11-Aug-2012,2012,8,115,-4.992,-5.674,-4.388,-4.871,11-Aug-2012
Scott John Morrison,25-Jul-2019,2019,7,3,-4.888,-5.735,-4.33,-4.829,25-Jul-2019
Tony John Abbott,22-Apr-2015,2015,4,29,-4.622,-5.748,-3.063,-4.747,22-Apr-2015
Scott John Morrison,20-Mar-2017,2017,3,3,-4.633,-5.817,-2.651,-4.739,20-Mar-2017
Scott John Morrison,09-Jul-2018,2018,7,23,-5.668,-7.087,-4.372,-4.612,09-Jul-2018
Anthony Norman Albanese,20-Mar-2017,2017,3,3,-4.285,-6.047,-1.166,-4.573,20-Mar-2017
Tony John Abbott,07-Apr-2010,2010,4,8,-5.024,-7.479,-3.102,-4.534,07-Apr-2010
Scott John Morrison,17-Feb-2013,2013,2,44,-4.411,-5.326,-3.3,-4.5,17-Feb-2013
Tony John Abbott,01-Dec-2011,2011,12,61,-4.451,-5.224,-3.757,-4.443,01-Dec-2011
Kevin Michael Rudd,14-Oct-2010,2010,10,5,-4.187,-4.874,-2.808,-4.378,14-Oct-2010
Kevin Michael Rudd,17-Dec-2008,2008,12,4,-4.855,-12.373,-1.137,-4.215,17-Dec-2008
Anthony Norman Albanese,09-Jul-2018,2018,7,6,-4.417,-6.63,-2.25,-4.179,09-Jul-2018
Scott John Morrison,29-Nov-2019,2019,11,7,-5.196,-8.235,-3.322,-4.101,29-Nov-2019
Scott John Morrison,01-Dec-2011,2011,12,87,-4.416,-5.2,-3.87,-4.05,01-Dec-2011
Tony John Abbott,14-Oct-2010,2010,10,10,-4.055,-5.648,-2.961,-3.98,14-Oct-2010
Malcolm Bligh Turnbull,29-Sep-2009,2009,9,68,-4.308,-4.971,-3.746,-3.894,29-Sep-2009
Scott John Morrison,07-Apr-2010,2010,4,56,-4.724,-5.798,-3.685,-3.877,07-Apr-2010
Kevin Michael Rudd,23-Apr-2011,2011,4,8,-3.211,-4.136,-1.605,-3.773,23-Apr-2011
Anthony Norman Albanese,01-Jan-2016,2016,1,11,-3.467,-5.962,-1.265,-3.713,01-Jan-2016
Tony John Abbott,01-Jan-2016,2016,1,4,-3.582,-5.476,-0.389,-3.598,01-Jan-2016
Tony John Abbott,17-Feb-2013,2013,2,6,-3.321,-5.751,-0.937,-3.457,17-Feb-2013
Anthony Norman Albanese,01-Dec-2011,2011,12,3,-3.613,-6.859,-1.787,-3.442,01-Dec-2011
Julia Eileen Gillard,23-Apr-2011,2011,4,32,-2.883,-3.667,-1.969,-3.405,23-Apr-2011
Tony John Abbott,23-Apr-2011,2011,4,29,-3.144,-4.129,-2.267,-3.401,23-Apr-2011
Malcolm Bligh Turnbull,01-Jan-2016,2016,1,11,-3.294,-4.05,-2.187,-3.399,01-Jan-2016
Kevin Michael Rudd,29-Sep-2009,2009,9,120,-3.342,-3.912,-2.805,-3.307,29-Sep-2009
Scott John Morrison,07-Jun-2020,2020,6,6,-3.58,-5.546,-1.859,-3.25,07-Jun-2020
Kevin Michael Rudd,07-Apr-2010,2010,4,32,-3.289,-4.126,-2.499,-3.219,07-Apr-2010
Julia Eileen Gillard,01-Dec-2011,2011,12,84,-3.226,-3.719,-2.743,-3.046,01-Dec-2011
Kevin Michael Rudd,24-Jun-2013,2013,6,3,-2.423,-4.058,0.369,-2.723,24-Jun-2013
Tony John Abbott,11-Aug-2012,2012,8,33,-3.522,-4.705,-2.515,-2.694,11-Aug-2012
Julia Eileen Gillard,14-Oct-2010,2010,10,38,-2.484,-3.028,-1.879,-2.688,14-Oct-2010
Tony John Abbott,24-Jun-2013,2013,6,12,-3.492,-5.72,-1.583,-2.684,24-Jun-2013
Scott John Morrison,25-Aug-2021,2021,8,3,-2.798,-4.372,-1.172,-2.636,25-Aug-2021
Julia Eileen Gillard,17-Feb-2013,2013,2,10,-2.959,-4.58,-1.788,-2.367,17-Feb-2013
Julia Eileen Gillard,11-Aug-2012,2012,8,26,-2.485,-3.637,-1.238,-2.356,11-Aug-2012
Anthony Norman Albanese,11-Aug-2012,2012,8,4,-1.929,-3.206,0.171,-2.101,11-Aug-2012
Malcolm Bligh Turnbull,09-Jul-2018,2018,7,4,-2.198,-3.895,-0.944,-2.061,09-Jul-2018
Sarah Hanson-Young,29-Oct-2013,2013,10,27,-1.492,-2.708,0.127,-1.946,29-Oct-2013
Nick McKim,25-Aug-2021,2021,8,14,-1.602,-3.141,0.144,-1.886,25-Aug-2021
Julia Eileen Gillard,24-Jun-2013,2013,6,27,-2.547,-3.707,-1.401,-1.844,24-Jun-2013
Sarah Hanson-Young,11-Jul-2008,2008,7,4,-1.195,-4.813,2.68,-1.231,11-Jul-2008
Andrew Wilkie,01-Jan-2016,2016,1,7,-0.669,-1.872,0.606,-1.103,01-Jan-2016
Nick McKim,11-Sep-2016,2016,9,52,-0.842,-1.996,0.06,-1.038,11-Sep-2016
Julia Eileen Gillard,29-Sep-2009,2009,9,8,-1.693,-4.667,0.107,-1.024,29-Sep-2009
Sarah Hanson-Young,07-Apr-2010,2010,4,15,-1.048,-2.451,0.17,-0.935,07-Apr-2010
Richard Di Natale,11-Sep-2016,2016,9,6,-0.97,-2.917,0.391,-0.766,11-Sep-2016
Andrew Wilkie,11-Aug-2012,2012,8,18,-0.513,-1.468,0.838,-0.696,11-Aug-2012
Anthony Norman Albanese,23-Apr-2011,2011,4,5,-0.731,-2.198,0.33,-0.657,23-Apr-2011
Richard Di Natale,27-Sep-2017,2017,9,6,-0.784,-3.471,1.422,-0.609,27-Sep-2017
Richard Di Natale,09-Jul-2018,2018,7,3,-0.739,-2.463,0.176,-0.595,09-Jul-2018
Sarah Hanson-Young,11-Aug-2012,2012,8,74,0.291,-0.345,0.902,-0.282,11-Aug-2012
Sarah Hanson-Young,01-Dec-2011,2011,12,55,-0.21,-0.968,0.651,-0.214,01-Dec-2011
Nick McKim,27-Sep-2017,2017,9,63,0.121,-0.564,0.893,-0.202,27-Sep-2017
Nick McKim,01-Jan-2016,2016,1,3,0.165,-0.926,2.004,0.037,01-Jan-2016
Richard Di Natale,11-Aug-2012,2012,8,18,-0.157,-1.928,1.363,0.082,11-Aug-2012
Richard Di Natale,29-Oct-2013,2013,10,3,0.122,-1.685,1.341,0.104,29-Oct-2013
Sarah Hanson-Young,05-Mar-2014,2014,3,23,0.717,-0.573,2.475,0.13,05-Mar-2014
Nick McKim,29-Nov-2019,2019,11,20,0.517,-0.687,1.939,0.287,29-Nov-2019
Sarah Hanson-Young,24-Jun-2013,2013,6,43,0.409,-0.528,1.388,0.328,24-Jun-2013
Richard Di Natale,12-Sep-2014,2014,9,10,-0.197,-1.815,1.133,0.338,12-Sep-2014
Sarah Hanson-Young,01-Jan-2016,2016,1,58,0.024,-1.093,0.887,0.354,01-Jan-2016
Nick McKim,20-Mar-2017,2017,3,64,0.331,-0.446,1.069,0.355,20-Mar-2017
Sarah Hanson-Young,22-Apr-2015,2015,4,82,0.236,-0.364,0.875,0.453,22-Apr-2015
Andrew Wilkie,22-Apr-2015,2015,4,8,0.752,-0.077,2.193,0.479,22-Apr-2015
Richard Di Natale,22-Apr-2015,2015,4,14,1.487,0.01,3.855,0.507,22-Apr-2015
Anthony Norman Albanese,30-Jul-2006,2006,7,12,0.962,-1.979,3.313,0.537,30-Jul-2006
Nick McKim,25-Jul-2019,2019,7,12,-0.26,-1.857,0.882,0.731,25-Jul-2019
Andrew Wilkie,08-Jul-2022,2022,7,4,0.366,-4.016,3.215,0.796,08-Jul-2022
Sarah Hanson-Young,17-Feb-2013,2013,2,18,1.105,-0.426,2.577,0.798,17-Feb-2013
Richard Di Natale,01-Jan-2016,2016,1,46,0.589,-0.293,1.391,0.803,01-Jan-2016
Sarah Hanson-Young,12-Sep-2014,2014,9,106,0.879,0.172,1.514,0.855,12-Sep-2014
Andrew Wilkie,25-Aug-2021,2021,8,8,1.011,0.02,2.064,0.897,25-Aug-2021
Nick McKim,15-Jan-2021,2021,1,8,0.994,-0.911,2.455,0.925,15-Jan-2021
Nick McKim,09-Jul-2018,2018,7,83,0.55,-0.175,1.244,1.084,09-Jul-2018
Sarah Hanson-Young,23-Apr-2011,2011,4,30,1.387,0.312,2.462,1.187,23-Apr-2011
Andrew Wilkie,01-Dec-2011,2011,12,3,1.339,0.551,2.743,1.217,01-Dec-2011
Andrew Wilkie,12-Sep-2014,2014,9,18,1.169,-0.206,2.673,1.232,12-Sep-2014
Andrew Wilkie,07-Jun-2020,2020,6,10,1.209,0.076,3.075,1.327,07-Jun-2020
Sarah Hanson-Young,29-Sep-2009,2009,9,38,1.788,0.819,2.686,1.536,29-Sep-2009
Andrew Wilkie,20-Mar-2019,2019,3,8,1.675,0.028,3.299,1.575,20-Mar-2019
Richard Di Natale,20-Mar-2017,2017,3,3,1.76,1.397,2.31,1.757,20-Mar-2017
Nick McKim,07-Jun-2020,2020,6,32,1.458,0.468,2.132,2.018,07-Jun-2020
Andrew Wilkie,29-Jan-2023,2023,1,4,1.737,-1.268,3.226,2.077,29-Jan-2023
Sarah Hanson-Young,23-Apr-2009,2009,4,7,2.155,0.899,3.34,2.175,23-Apr-2009
Nick McKim,29-Jan-2023,2023,1,33,2.879,1.795,4.101,2.511,29-Jan-2023
Andrew Wilkie,09-Jul-2018,2018,7,29,2.59,1.601,3.729,2.601,09-Jul-2018
Richard Di Natale,05-Mar-2014,2014,3,6,3.022,0.42,5.627,3.145,05-Mar-2014
Andrew Wilkie,15-Jan-2021,2021,1,7,3.243,2.49,3.98,3.223,15-Jan-2021
Andrew Wilkie,14-Oct-2010,2010,10,3,3.177,0.134,4.92,3.281,14-Oct-2010
Sarah Hanson-Young,14-Oct-2010,2010,10,12,3.501,2.21,5.276,3.488,14-Oct-2010
Andrew Wilkie,27-Sep-2017,2017,9,6,4.045,1.294,5.952,4.545,27-Sep-2017
Andrew Wilkie,23-Apr-2011,2011,4,16,5.473,3.974,7.15,5.327,23-Apr-2011
Nick McKim,20-Mar-2019,2019,3,3,6.295,-1.081,10.489,6.424,20-Mar-2019
Richard Di Natale,29-Nov-2019,2019,11,3,6.718,2.568,8.748,7.305,29-Nov-2019
Andrew Wilkie,29-Nov-2019,2019,11,7,7.287,3.63,9.861,7.472,29-Nov-2019
